Year,Subregion,Habitat,Site,Site_Name,Site_Code,Station,Points,ID_Points,ID_Percent_Cover,ID,ID_Group
1996,LK,BCP,18,Content Keys,3H1,181,584,109,0.186643836,Macroalgae,Macroalgae
1996,LK,BCP,18,Content Keys,3H1,181,584,18,0.030821918,Porifera,Porifera
1996,LK,BCP,18,Content Keys,3H1,181,584,1,0.001712329,Porites astreoides,Stony_Coral
1996,LK,BCP,18,Content Keys,3H1,181,584,1,0.001712329,Scleractinia,Stony_Coral
1996,LK,BCP,18,Content Keys,3H1,181,584,455,0.779109589,Substrate,Substrate
1996,LK,BCP,18,Content Keys,3H1,182,678,451,0.66519174,Macroalgae,Macroalgae
1996,LK,BCP,18,Content Keys,3H1,182,678,7,0.010324484,Porifera,Porifera
1996,LK,BCP,18,Content Keys,3H1,182,678,1,0.001474926,Millepora alcicornis,Stony_Coral
1996,LK,BCP,18,Content Keys,3H1,182,678,3,0.004424779,Siderastrea radians,Stony_Coral
1996,LK,BCP,18,Content Keys,3H1,182,678,216,0.318584071,Substrate,Substrate
1996,LK,BCP,18,Content Keys,3H1,183,590,26,0.044067797,Macroalgae,Macroalgae
1996,LK,BCP,18,Content Keys,3H1,183,590,1,0.001694915,Porifera,Porifera
1996,LK,BCP,18,Content Keys,3H1,183,590,4,0.006779661,Porites astreoides,Stony_Coral
1996,LK,BCP,18,Content Keys,3H1,183,590,559,0.947457627,Substrate,Substrate
1996,LK,BCP,18,Content Keys,3H1,184,580,394,0.679310345,Macroalgae,Macroalgae
1996,LK,BCP,18,Content Keys,3H1,184,580,19,0.032758621,Other Biota,Others
1996,LK,BCP,18,Content Keys,3H1,184,580,10,0.017241379,Porifera,Porifera
1996,LK,BCP,18,Content Keys,3H1,184,580,4,0.006896552,Porites astreoides,Stony_Coral
1996,LK,BCP,18,Content Keys,3H1,184,580,1,0.001724138,Pseudodiploria strigosa,Stony_Coral
1996,LK,BCP,18,Content Keys,3H1,184,580,152,0.262068966,Substrate,Substrate
1996,LK,BCP,39,Smith Shoal,2P1,391,495,11,0.022222222,Macroalgae,Macroalgae
1996,LK,BCP,39,Smith Shoal,2P1,391,495,12,0.024242424,Octocorallia,Octocoral
1996,LK,BCP,39,Smith Shoal,2P1,391,495,14,0.028282828,Porifera,Porifera
1996,LK,BCP,39,Smith Shoal,2P1,391,495,5,0.01010101,Colpophyllia natans,Stony_Coral
1996,LK,BCP,39,Smith Shoal,2P1,391,495,27,0.054545455,Millepora alcicornis,Stony_Coral
1996,LK,BCP,39,Smith Shoal,2P1,391,495,27,0.054545455,Montastraea cavernosa,Stony_Coral
1996,LK,BCP,39,Smith Shoal,2P1,391,495,7,0.014141414,Orbicella species,Stony_Coral
1996,LK,BCP,39,Smith Shoal,2P1,391,495,33,0.066666667,Porites astreoides,Stony_Coral
1996,LK,BCP,39,Smith Shoal,2P1,391,495,2,0.004040404,Agaricia agaricites,Stony_Coral
1996,LK,BCP,39,Smith Shoal,2P1,391,495,357,0.721212121,Substrate,Substrate
1996,LK,BCP,39,Smith Shoal,2P1,392,564,30,0.053191489,Macroalgae,Macroalgae
1996,LK,BCP,39,Smith Shoal,2P1,392,564,5,0.008865248,Octocorallia,Octocoral
1996,LK,BCP,39,Smith Shoal,2P1,392,564,15,0.026595745,Porifera,Porifera
1996,LK,BCP,39,Smith Shoal,2P1,392,564,5,0.008865248,Millepora alcicornis,Stony_Coral
1996,LK,BCP,39,Smith Shoal,2P1,392,564,30,0.053191489,Orbicella species,Stony_Coral
1996,LK,BCP,39,Smith Shoal,2P1,392,564,20,0.035460993,Porites astreoides,Stony_Coral
1996,LK,BCP,39,Smith Shoal,2P1,392,564,2,0.003546099,Siderastrea radians,Stony_Coral
1996,LK,BCP,39,Smith Shoal,2P1,392,564,5,0.008865248,Agaricia agaricites,Stony_Coral
1996,LK,BCP,39,Smith Shoal,2P1,392,564,452,0.80141844,Substrate,Substrate
1996,LK,BCP,39,Smith Shoal,2P1,393,550,23,0.041818182,Macroalgae,Macroalgae
1996,LK,BCP,39,Smith Shoal,2P1,393,550,14,0.025454545,Octocorallia,Octocoral
1996,LK,BCP,39,Smith Shoal,2P1,393,550,24,0.043636364,Porifera,Porifera
1996,LK,BCP,39,Smith Shoal,2P1,393,550,11,0.02,Millepora alcicornis,Stony_Coral
1996,LK,BCP,39,Smith Shoal,2P1,393,550,5,0.009090909,Montastraea cavernosa,Stony_Coral
1996,LK,BCP,39,Smith Shoal,2P1,393,550,1,0.001818182,Oculina diffusa,Stony_Coral
1996,LK,BCP,39,Smith Shoal,2P1,393,550,8,0.014545455,Orbicella species,Stony_Coral
1996,LK,BCP,39,Smith Shoal,2P1,393,550,7,0.012727273,Porites astreoides,Stony_Coral
1996,LK,BCP,39,Smith Shoal,2P1,393,550,1,0.001818182,Siderastrea siderea,Stony_Coral
1996,LK,BCP,39,Smith Shoal,2P1,393,550,2,0.003636364,Agaricia agaricites,Stony_Coral
1996,LK,BCP,39,Smith Shoal,2P1,393,550,454,0.825454545,Substrate,Substrate
1996,LK,BCP,39,Smith Shoal,2P1,394,539,30,0.055658627,Macroalgae,Macroalgae
1996,LK,BCP,39,Smith Shoal,2P1,394,539,6,0.011131725,Octocorallia,Octocoral
1996,LK,BCP,39,Smith Shoal,2P1,394,539,13,0.024118738,Porifera,Porifera
